iter	Passed	Remaining
172	2133	10198
173	2144	10178
174	2154	10158
175	2165	10138
176	2176	10118
177	2187	10100
178	2197	10079
179	2208	10059
180	2218	10038
181	2228	10017
182	2239	9997
183	2249	9978
184	2260	9958
185	2270	9937
186	2281	9917
187	2291	9898
188	2302	9880
189	2313	9860
190	2323	9841
191	2334	9824
192	2345	9805
193	2356	9789
194	2366	9768
195	2377	9751
196	2387	9732
197	2398	9713
198	2408	9694
199	2419	9678
200	2430	9660
201	2440	9642
202	2452	9629
203	2463	9612
204	2474	9595
205	2485	9578
206	2496	9562
207	2506	9544
208	2517	9526
209	2527	9509
210	2538	9491
211	2548	9474
212	2559	9456
213	2570	9439
214	2585	9438
215	2598	9431
216	2612	9425
217	2626	9420
218	2640	9415
219	2656	9417
220	2671	9417
221	2681	9399
222	2694	9386
223	2706	9374
224	2716	9358
225	2727	9342
226	2738	9326
227	2749	9308
228	2759	9291
229	2770	9274
230	2780	9256
231	2791	9240
232	2801	9223
233	2812	9206
234	2823	9189
235	2834	9174
236	2844	9158
237	2855	9142
238	2866	9126
239	2876	9110
240	2889	9100
241	2903	9095
242	2915	9083
243	2926	9066
244	2937	9051
245	2947	9035
246	2959	9020
247	2969	9005
248	2981	8991
249	2991	8975
250	3002	8959
251	3013	8943
252	3026	8935
253	3039	8928
254	3052	8919
255	3064	8907
256	3076	8893
257	3087	8879
258	3098	8865
259	3110	8851
260	3121	8837
261	3131	8821
262	3142	8805
263	3153	8791
264	3164	8776
265	3175	8761
266	3186	8747
267	3196	8731
268	3208	8718
269	3218	8703
270	3230	8689
271	3240	8674
272	3251	8657
273	3261	8641
274	3272	8627
275	3285	8619
276	3299	8612
277	3313	8604
278	3334	8617
279	3362	8645
280	3373	8630
281	3384	8616
282	3396	8606
283	3409	8594
284	3419	8579
285	3431	8566
286	3442	8551
287	3453	8537
288	3463	8521
289	3474	8507
290	3485	8491
291	3495	8476
292	3506	8460
293	3517	8445
294	3527	8430
295	3539	8417
296	3550	8403
297	3560	8388
298	3571	8373
299	3582	8359
300	3593	8345
301	3604	8330
302	3615	8315
303	3625	8301
304	3636	8286
305	3647	8271
306	3657	8256
307	3668	8241
308	3678	8226
309	3690	8214
310	3701	8200
311	3711	8185
312	3722	8171
313	3733	8156
314	3743	8141
315	3754	8127
316	3765	8112
317	3775	8097
318	3786	8082
319	3796	8068
320	3807	8054
321	3818	8040
322	3829	8026
323	3840	8012
324	3850	7997
325	3861	7983
326	3876	7977
327	3890	7971
328	3901	7957
329	3911	7942
330	3923	7928
331	3933	7914
332	3944	7899
333	3954	7886
334	3965	7871
335	3975	7856
336	3986	7842
337	3996	7828
338	4007	7814
339	4018	7800
340	4029	7786
341	4039	7772
342	4051	7761
343	4065	7752
344	4078	7742
345	4090	7732
346	4101	7718
347	4112	7704
348	4123	7691
349	4135	7679
350	4145	7665
351	4156	7651
352	4167	7637
353	4177	7624
354	4188	7610
355	4199	7597
356	4210	7583
357	4221	7569
358	4232	7556
359	4243	7543
360	4253	7528
361	4264	7515
362	4274	7501
363	4286	7489
364	4297	7475
365	4308	7463
366	4319	7450
367	4330	7436
368	4341	7424
369	4352	7411
370	4363	7398
371	4374	7384
372	4385	7371
373	4396	7358
374	4407	7345
375	4418	7332
376	4430	7321
377	4440	7307
378	4451	7293
379	4462	7280
380	4473	7267
381	4483	7254
382	4495	7241
383	4505	7228
384	4517	7215
385	4527	7202
386	4539	7190
387	4550	7178
388	4561	7164
389	4572	7152
390	4583	7139
391	4594	7125
392	4604	7112
393	4614	7097
394	4625	7084
395	4636	7072
396	4647	7059
397	4658	7046
398	4669	7034
399	4683	7025
400	4694	7012
401	4705	6999
402	4716	6986
403	4726	6973
404	4737	6959
405	4748	6947
406	4760	6936
407	4772	6924
